HBT,HealthBoardName,Specialty,SpecialtyName,PatientType,ForecastDate,yhat,yhat_lower,yhat_upper
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),Inpatient/Day case,2024-01-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),Inpatient/Day case,2024-02-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),Inpatient/Day case,2024-03-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),Inpatient/Day case,2024-04-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),Inpatient/Day case,2024-05-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),Inpatient/Day case,2024-06-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),New Outpatient,2026-04-01,76.61,59.26,94.2
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),New Outpatient,2026-05-01,78.45,61.37,96.48
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),New Outpatient,2026-06-01,80.51,64.58,97.75
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),New Outpatient,2026-07-01,80.89,63.29,97.33
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),New Outpatient,2026-08-01,81.36,65.36,98.69
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),New Outpatient,2026-09-01,83.44,66.11,99.56
S08000015,NHS Ayrshire & Arran,AB,Specialty (AB),New Outpatient,2026-04-01,62.41,49.54,75.54
S08000015,NHS Ayrshire & Arran,AB,Specialty (AB),New Outpatient,2026-05-01,64.69,50.18,77.26
S08000015,NHS Ayrshire & Arran,AB,Specialty (AB),New Outpatient,2026-06-01,67.94,55.08,80.76
S08000015,NHS Ayrshire & Arran,AB,Specialty (AB),New Outpatient,2026-07-01,68.75,55.29,82.68
S08000015,NHS Ayrshire & Arran,AB,Specialty (AB),New Outpatient,2026-08-01,68.37,54.34,81.74
S08000015,NHS Ayrshire & Arran,AB,Specialty (AB),New Outpatient,2026-09-01,68.51,55.37,81.13
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),Inpatient/Day case,2020-08-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),Inpatient/Day case,2020-09-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),Inpatient/Day case,2020-10-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),Inpatient/Day case,2020-11-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),Inpatient/Day case,2020-12-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),Inpatient/Day case,2021-01-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),New Outpatient,2026-04-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),New Outpatient,2026-05-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),New Outpatient,2026-06-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),New Outpatient,2026-07-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),New Outpatient,2026-08-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AD,Specialty (AD),New Outpatient,2026-09-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),Inpatient/Day case,2026-04-01,12.31,0.0,27.96
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),Inpatient/Day case,2026-05-01,5.91,0.0,21.28
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),Inpatient/Day case,2026-06-01,6.34,0.0,22.52
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),Inpatient/Day case,2026-07-01,3.85,0.0,19.6
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),Inpatient/Day case,2026-08-01,4.7,0.0,20.32
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),Inpatient/Day case,2026-09-01,4.42,0.0,19.57
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),New Outpatient,2026-04-01,28.28,17.04,39.26
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),New Outpatient,2026-05-01,32.4,20.95,43.19
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),New Outpatient,2026-06-01,36.44,24.9,47.55
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),New Outpatient,2026-07-01,37.16,25.2,48.79
