HBT,HealthBoardName,Specialty,SpecialtyName,PatientType,RiskRating,PriorityScore,CurrentPctOver12Weeks,PeakForecast,MeanForecast,FinalForecast,ForecastUncertainty,ForecastDateMax,TrendDirection,TrendSlope,CurrentMedianWaitWeeks,Current90thPctWaitWeeks,NumberWaiting,NumberWaitingOver12Weeks,Additions,Removals,NetPressure
S08000030,NHS Tayside,Z9,All Specialties,New Outpatient,RED,2.7,47.62,56.82,54.76,55.78,13.52,2026-09-01,Improving,-0.78,78.0,278.0,30817.0,14675.0,32480.0,34807.0,-2327.0
S08000030,NHS Tayside,Z9,All Specialties,Inpatient/Day case,RED,2.7,64.69,76.82,73.58,72.99,12.9,2026-09-01,Improving,-0.51,153.0,477.0,14397.0,9313.0,7628.0,7448.0,180.0
S08000024,NHS Lothian,D8,Respiratory Medicine,Inpatient/Day case,RED,2.7,61.11,88.94,86.22,87.29,33.91,2026-09-01,Improving,-1.43,125.0,295.0,738.0,451.0,372.0,389.0,-17.0
S08000024,NHS Lothian,D5,Haematology,New Outpatient,RED,2.7,59.24,72.15,63.83,58.06,64.89,2026-09-01,Improving,-2.73,122.0,292.0,341.0,202.0,140.0,183.0,-43.0
S08000024,NHS Lothian,D4,Endocrinology,New Outpatient,RED,2.7,75.26,95.15,87.33,95.15,53.29,2026-09-01,Improving,-0.56,231.0,763.4,1637.0,1232.0,370.0,701.0,-331.0
S92000003,NHS Scotland (All),AQ,Specialty (AQ),New Outpatient,RED,2.7,46.79,61.4,59.19,61.4,19.23,2026-09-01,Improving,-1.41,77.0,252.0,15774.0,7380.0,15271.0,15737.0,-466.0
S92000003,NHS Scotland (All),AH,Specialty (AH),New Outpatient,RED,2.7,49.9,69.74,65.39,64.74,9.84,2026-09-01,Improving,-1.19,84.0,244.0,17520.0,8742.0,12980.0,15144.0,-2164.0
S92000003,NHS Scotland (All),AFA,Specialty (AFA),New Outpatient,RED,2.7,63.53,72.88,67.86,72.88,16.1,2026-09-01,Improving,-2.11,126.0,368.7,3444.0,2188.0,1810.0,1544.0,266.0
S08000019,NHS Forth Valley,C1,Cardiothoracic Surgery,Inpatient/Day case,RED,2.7,44.73,64.16,60.07,59.22,19.92,2026-09-01,Improving,-2.04,76.0,201.0,749.0,335.0,665.0,849.0,-184.0
S08000019,NHS Forth Valley,AQ,Specialty (AQ),New Outpatient,RED,2.7,49.65,58.57,55.34,58.57,57.13,2026-09-01,Improving,-1.1,84.0,277.1,570.0,283.0,425.0,388.0,37.0
S08000019,NHS Forth Valley,AP,Specialty (AP),New Outpatient,RED,2.7,,95.05,90.1,95.05,46.84,2026-08-01,Improving,-15.35,,,,,0.0,17.0,-17.0
S92000003,NHS Scotland (All),A8,Specialty (A8),New Outpatient,RED,2.7,33.32,78.04,75.39,76.58,30.15,2026-09-01,Improving,-3.27,54.0,182.0,2869.0,956.0,2711.0,3154.0,-443.0
S92000003,NHS Scotland (All),A7,Specialty (A7),New Outpatient,RED,2.7,53.56,73.61,69.77,69.73,16.86,2026-09-01,Improving,-1.24,103.0,273.0,49851.0,26700.0,35678.0,42114.0,-6436.0
S92000003,NHS Scotland (All),A2,Specialty (A2),New Outpatient,RED,2.7,39.56,60.78,58.54,60.73,21.62,2026-09-01,Improving,-1.05,62.0,202.0,17986.0,7115.0,20799.0,20637.0,162.0
